"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0286,1,8/8/2007,0.428,4.37,-88.82970363,46.15225085,0.556243386,17.8,2912046.771,497.39,5.80
NLA06608-0290,1,7/11/2007,0.223,0.45,-120.5256858,42.19565154,0.592389278,2.9,608392.9072,1485,32.58
NLA06608-0291,1,7/11/2007,0.241,5.53,-88.99784821,43.81382063,31.04867993,49,432122081.6,242.59,270.45
NLA06608-0293,1,7/25/2007,0.088,0.3,-73.50316356,41.38426053,0.235524262,5.5,502812.1055,136.47,5.87
NLA06608-0294,1,6/26/2007,0.03,0.26,-72.11517323,44.95223074,0.761953394,5.1,1393899.827,312.01,4.56
NLA06608-0295,1,6/26/2007,0.553,1.47,-97.63176411,45.18747233,0.184312026,4.6,294883.542,532.26,29.17
NLA06608-0297,1,7/24/2007,0.643,0.63,-81.67207159,33.84097049,0.040366747,2.7,34033.99205,186.93,0.71
NLA06608-0299,1,7/30/2007,0.226,2.18,-85.2449775,41.45660059,0.375227807,19.2,2329159.95,304.03,10.37
NLA06608-0302,1,6/23/2007,0.427,0.66,-97.02426153,45.91703876,0.126514457,2.5,118124.7518,355.11,0.43
NLA06608-0303,1,8/7/2007,0.111,0.19,-82.72837965,41.08805669,0.807189637,4.4,908310.9745,249.78,34.71
NLA06608-0306,1,7/16/2007,0.38,0.33,-119.4133477,43.41788272,1.078299604,1.5,493398.1641,1268.55,1256.56
NLA06608-0312,1,7/16/2007,0.059,0.09,-95.54639054,38.81717464,0.118597478,3.5,133055.8923,320.12,8.36
NLA06608-0313,1,7/13/2007,0.153,0.12,-79.6893777,34.88602671,0.156237424,2,105857.6821,85.14,19.58
NLA06608-0318,1,7/20/2007,0.182,0.63,-92.43469487,47.46148555,0.326482637,5.2,574685.8628,430.53,4.12
NLA06608-0319,1,7/22/2007,0.024,0.02,-83.11204858,34.72229815,1.007268008,3,739621.2451,265.78,30.77
NLA06608-0324,1,8/8/2007,0.161,0.4,-82.20271516,36.94420902,0.29682555,5.5,515362.4151,469.85,19.36
NLA06608-0325,1,7/17/2007,0.342,0.31,-81.43794893,28.56369452,0.628038282,3.3,632414.3354,26.24,2.00
NLA06608-0326,1,8/16/2007,0.175,0.48,-72.04012641,41.35719487,0.673890954,6.4,1194158.001,6.71,39.63
NLA06608-0327,1,6/27/2007,0.405,0.15,-91.37124941,31.70973689,0.413189242,1.3,149404.2202,16.5,18.40
NLA06608-0328,1,8/25/2007,0.213,0.22,-93.87023429,32.515555,33.51525738,3.5,32875265.95,51.51,656.16
NLA06608-0330,1,9/5/2007,0.064,0.12,-83.45698555,45.06291593,1.151075948,5,1172083.008,182.12,3244.18
NLA06608-0332,1,9/4/2007,0.06,0.43,-94.96969524,35.64054377,54.62694674,28.3,340569891.9,182.13,4138.38
NLA06608-0333,1,7/24/2007,0.152,1.81,-74.85056841,40.62803319,9.207200566,9.1,31428384.89,115.69,13.22
NLA06608-0334,1,6/27/2007,0.213,0.32,-100.758717,48.31405586,5.012989105,3.1,4239894.917,450.56,600.76
NLA06608-0337,1,7/12/2007,0.563,2.85,-122.6562431,48.39382391,0.518523035,8,1452611.102,2.65,4.66
NLA06608-0339,1,6/25/2007,0.693,3.16,-99.42452982,46.11443869,0.650743923,7.8,1700885.586,596.04,26.45
NLA06608-0340,1,6/21/2007,0.057,0.5,-105.8760128,35.69079767,0.110274092,14,488842.9219,2280.73,59.33
NLA06608-0341,1,9/18/2007,0,0.21,-75.93516194,43.20849339,207.0045539,11.5,833930356.4,112.31,3523.60
NLA06608-0343,1,8/21/2007,0.803,1.27,-96.63532038,44.87173399,4.27244916,2.6,4005620.345,530.52,22.61
NLA06608-0344,1,7/5/2007,0.538,1.46,-96.87657153,40.96440578,6.733547134,8.2,12931110.59,390.54,215.01
NLA06608-0345,1,6/21/2007,0.116,0.29,-79.84411222,36.6584792,0.11042643,5.3,206007.6153,213.8,2.89
NLA06608-0350,1,8/9/2007,0.254,1.5,-90.6606696,45.7646886,0.352866979,7.6,1103668.766,442.81,28.43
NLA06608-0354,1,7/19/2007,0.127,0.18,-71.80704144,42.51316899,0.219604974,2.9,184955.4297,255.8,1.15
NLA06608-0356,1,7/16/2007,0.391,0.56,-104.5942811,36.5624187,0.918089692,2.4,766740.9675,1831,54.03
NLA06608-0357,1,7/27/2007,0.149,0.28,-73.13778739,42.31280493,0.584636816,3.3,592565.1704,536.84,5.56
